Course_Code,Section,Course_Name,Status,Instructor,Room,Days,Time
ACAD 007,1,College Study Skills,Open,N/A,ASB-105,Wednesday,4:10 PM - 5:00 PM
ACAD 007,2,College Study Skills,Open,N/A,ASB-105,Thursday,4:10 PM - 5:00 PM
ACAD 100,1,Mecca Made: Student Success at Howard University  (HD-DCP),Open,Kyndra Middleton,N/A,Tuesday,5:30 PM - 7:00 PM
ACCT 201,1,Accounting Principles I,Closed,Samuel Akin,CB4-200,"Monday, Wednesday",9:40 AM - 11:00 AM
ACCT 201,2,Accounting Principles I,Closed,Tina Owens,CB4-200,"Tuesday, Thursday",8:10 AM - 9:30 AM
ACCT 201,3,Accounting Principles I,Open,Samuel Akin,CB4-218,"Monday, Wednesday",8:10 AM - 9:30 AM
ACCT 201,4,Accounting Principles I,Closed,Andria Hill,CB4-317,"Tuesday, Thursday",12:40 PM - 2:00 PM
ACCT 201,5,Accounting Principles I,Closed,Keely Monge,CB4-218,"Monday, Wednesday",5:10 PM - 6:30 PM
ACCT 201,6,Accounting Principles I,Open,James Shelton,CB4-322,"Tuesday, Thursday",6:40 PM - 8:00 PM
ACCT 201,7,Accounting Principles I,Closed,Samuel Akin,CB4-217,"Tuesday, Thursday",9:40 AM - 11:00 AM
ACCT 201,8,Accounting Principles I,Closed,N/A,CB4-216,"Monday, Wednesday",6:40 PM - 8:00 PM
ACCT 202,1,Accounting Principles II,Open,Jean Wells,CB4-218,"Tuesday, Thursday",8:10 AM - 9:30 AM
ACCT 202,2,Accounting Principles II,Open,Tina Owens,CB4-218,"Tuesday, Thursday",12:40 PM - 2:00 PM
ACCT 202,3,Accounting Principles II,Open,Tina Owens,CB4-216,"Tuesday, Thursday",9:40 AM - 11:00 AM
ACCT 202,4,Accounting Principles II,Closed,Samuel Akin,CB4-417,"Tuesday, Thursday",8:10 AM - 9:30 AM
ACCT 202,5,Accounting Principles II,Closed,Kennie Edwards,CB4-216,"Monday, Wednesday",5:10 PM - 6:30 PM
