Name,Department,Overall_Rating,Difficulty,Would_Take_Again_Pct,Num_Ratings,RMP_ID,RMP_URL
Moussa Doumbia,Mathematics,4.3,2.6,84.0909%,44,2332075,https://www.ratemyprofessors.com/professor/2332075
Stacey Patton,Communication,2.7,3.6,38.0952%,41,2522952,https://www.ratemyprofessors.com/professor/2522952
Velma Lapoint,Education,3,3.5,66.6667%,8,601831,https://www.ratemyprofessors.com/professor/601831
Erin Jones,Art History,5,1,100%,1,3026060,https://www.ratemyprofessors.com/professor/3026060
Hemayet Ullah,Biology,2.7,3.7,35.8974%,42,956463,https://www.ratemyprofessors.com/professor/956463
Marcus Singer,English,3.1,3.7,42.8571%,22,907421,https://www.ratemyprofessors.com/professor/907421
Monique Wells,Education,5,3.3,100%,84,1801375,https://www.ratemyprofessors.com/professor/1801375
Yousef Hijji,Chemistry,3.1,3.7,87.5%,7,2837171,https://www.ratemyprofessors.com/professor/2837171
Jamie Barden,Psychology,3.3,3.3,44.4444%,12,1246772,https://www.ratemyprofessors.com/professor/1246772
Jason Matthews,Chemistry,3.5,4.1,66.6667%,49,641594,https://www.ratemyprofessors.com/professor/641594
Johanna Leblanc,Political Science,2.4,4,39.1304%,20,3027854,https://www.ratemyprofessors.com/professor/3027854
Timothy Ramadhar,Chemistry,2.5,4.3,43.75%,15,2525376,https://www.ratemyprofessors.com/professor/2525376
Francis Wiafe-Amoako,African-American Studies,2.5,2.9,33.3333%,14,2839010,https://www.ratemyprofessors.com/professor/2839010
LaTasha Levy,African-American Studies,5,2.3,100%,3,3045884,https://www.ratemyprofessors.com/professor/3045884
Rui Diogo,Biology,0,0,100%,0,2977124,https://www.ratemyprofessors.com/professor/2977124
Emma Chebinou,Languages,4.2,2.6,77.7778%,44,3048927,https://www.ratemyprofessors.com/professor/3048927
Efosa Idemudia,Business,3.4,3.8,60%,9,3072640,https://www.ratemyprofessors.com/professor/3072640
